We,F1,F2,t1,t2
2,1.792469564,0,0.212717466,0.432903041
4,1.391123159,0,0.20861447,0.613114237
6,1.252535821,0,0.205222344,0.752388611
8,1.16962707,0,0.202622011,0.870841407
10,1.122713295,0.368608587,0.200314725,0.976218328
12,1.083528353,0.293279886,0.198155342,1.072430819
14,1.054171546,0.244830793,0.196098509,1.140710137
16,1.03739536,0.211133018,0.194120136,1.255312399
18,1.027406208,0.186359441,0.192191373,1.367817932
20,1.017894031,0.167379983,0.190321531,1.476931113
25,1.015983089,0.134927304,0.18613299,1.724761221
30,1.012668562,0.114371286,0.183030678,1.930924274
40,0.993504458,0.08964563,0.180670334,2.25034616
50,0.991927703,0.072516373,0.180952684,2.518611178
60,0.981826142,0.062556308,0.181010159,2.760977034
70,0.971059246,0.05386823,0.180515801,2.983501516
80,0.971299253,0.045347952,0.180268214,3.19018564
90,0.968826269,0.039388983,0.18030449,3.383873358
100,0.966280372,0.036076073,0.1804787,3.566706423
125,0.961188578,0.029978461,0.181166742,3.986684927
150,0.958436092,0.025771251,0.181982624,4.368487142
175,0.959292826,0.023662959,0.182828943,4.726649389
200,0.969157418,0.022255101,0.183661158,5.07335914
400,0.972180291,0.022922498,0.1889302,7.51592538
800,0.972180291,0.02265514,0.194350505,10.08217669
1000,0.972180291,0.022365217,0.19577895,11.3169559
